id,admission_date,register_id:id,application_date,application_number,batch_id:id,birth_date,city,country_id,course_id:id,fees,name,gender,last_name,middle_name,student_id:id,title,state
op_admission_3,2015-04-11,op_admission_register_4,2015-04-07 11:48:20,AD105,openeducat_core.op_batch_5,2003-09-04,,United States,openeducat_core.op_course_6,25000,Isaac,Male,Clark,F,openeducat_core.op_student_20,Mister,Done
op_admission_4,2015-04-09,op_admission_register_4,2015-04-06 11:44:04,AD104,openeducat_core.op_batch_5,2002-03-05,Fort Worth,United States,openeducat_core.op_course_6,25000,Grace,Female,Palmer,E,openeducat_core.op_student_19,Miss,Done
op_admission_5,2015-04-17,op_admission_register_4,2015-04-07 11:42:58,AD103,openeducat_core.op_batch_5,2003-12-03,,United States,openeducat_core.op_course_6,25000,Mason,Female,Bennett,D,openeducat_core.op_student_18,Mister,Done
op_admission_6,2015-05-01,op_admission_register_4,2015-04-06 11:40:47,AD102,openeducat_core.op_batch_5,2003-12-03,,United States,openeducat_core.op_course_6,25000,Alexis,Female,Smith,K,openeducat_core.op_student_17,Miss,Done
op_admission_7,2015-05-11,op_admission_register_4,2015-04-05 11:28:32,AD101,openeducat_core.op_batch_5,2003-01-06,Houston,United States,openeducat_core.op_course_6,25000,Daniel,Male,Fostar,W,openeducat_core.op_student_16,Mister,Done
op_admission_8,2015-01-03,op_admission_register_3,2015-01-03 04:30:50,AD096,openeducat_core.op_batch_4,1991-11-02,,India,openeducat_core.op_course_5,10500,Shweta,Female,Hasnandani,O,openeducat_core.op_student_15,Miss,Done
op_admission_9,2015-01-07,op_admission_register_3,2015-01-03 04:29:53,AD095,openeducat_core.op_batch_4,1991-03-18,,India,openeducat_core.op_course_5,10500,Hardik,Male,Patel,S,openeducat_core.op_student_14,Mister,Done
op_admission_10,2015-01-15,op_admission_register_3,2015-01-04 04:27:22,AD094,openeducat_core.op_batch_4,1990-07-02,,China,openeducat_core.op_course_5,10500,Qiang,Female,Sim,W,openeducat_core.op_student_13,Miss,Done
op_admission_11,2015-01-14,op_admission_register_3,2015-01-05 04:26:04,AD093,openeducat_core.op_batch_4,1991-12-03,,China,openeducat_core.op_course_5,10500,Hung,Male,Lan,K,openeducat_core.op_student_12,Mister,Done
op_admission_12,2015-01-18,op_admission_register_3,2015-01-03 04:24:20,AD092,openeducat_core.op_batch_3,1992-05-12,,India,openeducat_core.op_course_5,10500,Rishita,Female,Parikh,T,openeducat_core.op_student_9,Miss,Done
op_admission_13,2015-01-11,op_admission_register_3,2015-01-08 04:24:02,AD091,openeducat_core.op_batch_3,1989-09-30,,India,openeducat_core.op_course_5,10500,Abhinav,Male,Chaudhri,Y,openeducat_core.op_student_10,Mister,Done
op_admission_14,2015-01-21,op_admission_register_3,2015-01-06 04:22:27,AD090,openeducat_core.op_batch_3,1990-07-12,,India,openeducat_core.op_course_5,10500,Deepak,Male,Jha,K,openeducat_core.op_student_11,Mister,Done
op_admission_15,2015-07-09,op_admission_register_2,2015-07-07 07:30:35,AD046,openeducat_core.op_batch_2,1992-05-06,,India,openeducat_core.op_course_1,1500,Sumita,Female,Singh,R,openeducat_core.op_student_1,Miss,Done
op_admission_16,2015-07-27,op_admission_register_2,2015-07-03 07:29:51,AD045,openeducat_core.op_batch_2,1989-11-05,,China,openeducat_core.op_course_1,1500,Xun,Male,Chua,K,openeducat_core.op_student_2,Mister,Done
op_admission_17,2015-07-25,op_admission_register_2,2015-07-03 07:28:42,AD044,openeducat_core.op_batch_2,1991-03-12,,Hong Kong,openeducat_core.op_course_1,1500,Liling,Female,Boon,I,openeducat_core.op_student_3,Miss,Done
op_admission_18,2015-01-20,op_admission_register_1,2015-01-08 07:23:41,AD043,openeducat_core.op_batch_1,1991-05-16,,India,openeducat_core.op_course_2,1200,Prachi,Female,Dani,U,openeducat_core.op_student_4,Miss,Done
op_admission_19,2015-01-19,op_admission_register_1,2015-01-05 07:21:40,AD042,openeducat_core.op_batch_1,1991-09-12,,Comoros,openeducat_core.op_course_2,1200,Valdez,Male,Cisse,L,openeducat_core.op_student_5,Mister,Done
op_admission_20,2015-01-22,op_admission_register_1,2015-01-08 07:18:37,AD041,openeducat_core.op_batch_1,1990-12-12,,Spain,openeducat_core.op_course_2,1200,Matthew,Male,Aybar,K,openeducat_core.op_student_6,Mister,Done
op_admission_21,2015-01-15,op_admission_register_1,2015-01-07 07:17:43,AD040,openeducat_core.op_batch_1,1990-09-01,,Saudi Arabia,openeducat_core.op_course_2,1200,Dawud,Male,Bitar,L,openeducat_core.op_student_7,Mister,Done
op_admission_22,2015-01-27,op_admission_register_1,2015-01-07 07:01:41,AD039,openeducat_core.op_batch_1,1990-06-10,,Mexico,openeducat_core.op_course_2,1200,Laura,Female,Damian,Z,openeducat_core.op_student_8,Miss,Done
op_admission_23,2015-04-11,op_admission_register_4,2015-04-08 11:51:24,AD108,openeducat_core.op_batch_5,2003-04-12,Alaska,United States,openeducat_core.op_course_6,25000,Hannah,Female,Walker,J,,Miss,Draft
op_admission_24,2015-04-15,op_admission_register_4,2015-04-07 11:51:24,AD109,openeducat_core.op_batch_5,2003-03-10,New York,United States,openeducat_core.op_course_6,25000,Gavin,Male,Robinson,K,,Mister,Draft
op_admission_25,2015-04-09,op_admission_register_4,2015-04-06 11:51:24,AD110,openeducat_core.op_batch_5,2003-06-12,Los Angeles,United States,openeducat_core.op_course_6,25000,Jayden,Male,Moore,N,,Mister,Draft
