id,active,type,birth_date,birthdate,blood_group,city,email,gender,image,lang,last_name,middle_name,name,nationality:id,photo,faculty_subject_ids:id,title:id
op_faculty_1,True,contact,1983-02-01,,B+ve,,aadolfdchurch@demo.com,Male,,en_US,Church,D,Aadolf,base.us,,,base.res_partner_title_mister
op_faculty_2,True,contact,1993-02-05,,O+ve,,dylanqhidalgo@demo.com,Male,,en_US,Hidalgo,Q,Dylan,base.de,,"op_subject_6,op_subject_7",base.res_partner_title_mister
op_faculty_3,True,contact,1982-09-04,,A-ve,,kuciaksison@demo.com,Female,,en_US,Sison,K,Lucia,base.mt,,"op_subject_8,op_subject_9",base.res_partner_title_miss
op_faculty_4,True,contact,1984-06-04,,A+ve,,badruvturay@demo.com,Male,,en_US,Turay,V,Badru,base.ao,,"op_subject_10,op_subject_11",base.res_partner_title_mister
op_faculty_5,True,contact,1982-08-09,,O+ve,,maaikeleffiong@demo.com,Female,,en_US,Effiong,L,Maaike,base.cf,,"op_subject_12,op_subject_13",base.res_partner_title_miss
op_faculty_6,True,contact,1980-09-05,,B+ve,,harpreetsinghkbagga@demo.com,Male,,en_US,Bagga,K,Harpreet Singh,base.in,,"op_subject_14,op_subject_15,op_subject_16",base.res_partner_title_mister
op_faculty_7,True,contact,1985-06-17,,A-ve,,sanjanaepillay@demo.com,Female,,en_US,Pillay,E,Sanjana,base.in,,op_subject_17,base.res_partner_title_miss
op_faculty_8,True,contact,1987-08-04,,B+ve,,tanyamwagle@demo.com,Female,,en_US,Wagle,M,Tanya,base.in,,op_subject_18,base.res_partner_title_miss
op_faculty_9,True,contact,1982-04-06,,B-ve,,changdsuen@demo.com,Male,,en_US,Suen,D,Chang,base.cn,,op_subject_19,base.res_partner_title_mister
op_faculty_10,True,contact,1981-03-15,,B+ve,,komalhshah@demo.com,Female,,en_US,Shah,H,Komal,base.in,,op_subject_20,base.res_partner_title_miss
